"id","titulo","guia_id"
574,"Proporção de Vacinas Selecionadas que Compõem o Calendário Nacional de Vacinação para Crianças Menores de 1 ano de Idade (Pentavalente – 3ª dose, Poliomielite – 3ª dose, Pneumocócica 10-Valente – 2ª dose) e Para Crianças de 1 ano de idade (Tríplice Viral – 1ª dose) – Com Coberturas Vacinais Preconizadas (↑)",NULL
575,"Taxa de Cobertura do Teste do Pezinho (↑)",NULL
576,"Cobertura Vacinal de Pentavalente (↑)",NULL
577,"Percentual de Usuários Referenciados Pós-alta (90 Dias) (↑)",NULL
578,"Percentual de Partos Cesáreos (↓)",NULL
579,"Número de Óbitos por Dengue (↓)",NULL
580,"Proporção de Partos Vaginais (↑)",NULL
581,"Proporção de Gestantes com Atendimento Odontológico Realizado na Atenção Primária à Saúde. (↑).",NULL
582," Cobertura Populacional Estimada pela Saúde Bucal na Atenção Básica (↑)",NULL
583,"Proporção de Municípios com Nota do Indicador Sintético Final (Previne Brasil) Maior ou Igual a 5 (↑)",NULL
584,"Percentual de Procedimentos em Práticas Integrativas Realizados pelo CREMIC (↑) ",NULL
585,"Cobertura Vacinal da Pneumocócica 10 Valente (↑)",NULL
586,"Cobertura da Atenção Primária à Saúde das Equipes Financiadas pelo Ministério da Saúde (↑)",NULL
587,"Razão de Exames Citopatológicos do Colo do Útero (Papanicolau) em Mulheres de 25 a 64 Anos de Idade (↑)",NULL
588,"Proporção de Crianças de 1 (um) Ano de Idade Vacinadas na APS Contra Difteria, Tétano, Coqueluche, Hepatite B, Infecções Causadas por Haemophilus Inﬂuenzae tipo b e Poliomielite Inativada (↑).",NULL
589,"Proporção de Diabéticos com pelo menos 1 Consulta Realizada no Semestre (↑)",NULL
590,"Cobertura De Exames Citopatológicos do Colo Do Útero em Mulheres Da População-Alvo",NULL
591,"Proporção de Pessoas com Hipertensão, com Consulta e Pressão Arterial Aferida no Semestre (↑)",NULL
592,"Proporção de Mulheres com Coleta de Citopatológico na Atenção Primária à Saúde (APS) (↑) ",NULL
593,"Proporção de Gestantes com Realização de Exames para Sífilis e HIV (↑).",NULL
594,"Taxa de Mortalidade por COVID-19 (↓)",NULL
595,"Proporção de Gestantes com 6 ou mais Consultas Sendo a Primeira Consulta até 12ª Semana de Gestação (↑)",NULL
596,"Percentual de Conclusão de Manutenções Corretivas em Equipamentos Médicos Assistenciais (↑)",NULL
597,"Percentual de Autossuficiência em Internações de Média Complexidade – Fluxo de Acesso (↑)",NULL
598,"Percentual de Autossuficiência em Internações de Alta Complexidade – Fluxo de Acesso (↑)",NULL
599,"Número de Atendimentos no Hospital Dia (↑)",NULL
600,"Taxa Bruta de Mortalidade Prematura Pelo Conjunto das 04 Principais Doenças Crônicas Não Transmissíveis (↓)",NULL
601,"Percentual de processos prioritários otimizados na SES-GO (↑)",NULL
602,"Índice de Giro de Leitos (↑) ",NULL
603,"Taxa de Mortalidade Infantil (↓)",NULL
604,"Cobertura Vacinal de Tríplice Viral Nas Crianças De 1 Ano de Idade (↑)",NULL
605,"Percentual de Suspensão de Cirurgias Programadas por Condições Operacionais (Causas Relacionadas à Organização da Unidade) (↓)",NULL
606,"Percentual  de Oferta de Terapias (↑)",NULL
607,"Coeficiente de Mortalidade por Hepatite B (↓)",NULL
608,"Percentual de Recusa Familiar para Doação de Órgãos em Morte Encefálica (↓)",NULL
609,"Taxa de Detecção de Hepatite C (↑)",NULL
610,"Percentual de Exames Laboratoriais Liberados em até 2 Horas (↑)",NULL
611,"Percentual de Absenteísmo de Exames de Diagnóstico (externo) (↓)",NULL
612,"Percentual de Oferta de Exames de Diagnóstico (interno) (↑)",NULL
613,"Proporção de Casos de Hepatite B Segundo Provável Fonte ou Mecanismo de Infecção e Ano de Diagnóstico (↓)",NULL
614,"Percentual de Oferta de Exames de Diagnóstico (externo) (↑)",NULL
615,"Razão entre Nascidos Vivos Informados e Estimados ",NULL
616," Percentual de Oferta de Consultas Médicas Especializadas (↑)",NULL
617,"Percentual de Atraso na Elaboração do Anexo I dos Contratos no Quadrimestre(↓)",NULL
618,"Percentual de Cura dos Casos Novos de Tuberculose Pulmonar com Confirmação Laboratorial (↑)",NULL
619,"Taxa de Utilização de Cateter Venoso Central (CVC) (↓)",NULL
620,"Qualidade do Hemocomponente Produzido - Percentual de Conformidade (↑)  ",NULL
621,"Razão de exames de mamografia de rastreamento realizados em mulheres na faixa etária de 50 a 69 anos (↑)",NULL
622,"Percentual de Disponibilidade dos Equipamentos Médicos Assistenciais Críticos (↑)",NULL
623,"Proporção de Gravidez na Adolescência (10-19 anos) (↓)",NULL
624,"Índice de Envelhecimento  ",NULL
625,"Taxa de Readmissão Hospitalar (29 Dias) (↓)",NULL
626,"Taxa de Usuários com  Plano Terapêutico Individual (PTI) Elaborado (↑)",NULL
627,"Percentual de Ocorrência de Glosas no SIA-SUS (↓)",NULL
628,"Percentual de Absenteísmo (↓)",NULL
629,"Taxa de Incidência de COVID-19 (↓)",NULL
630,"Razão do Quantitativo de Exames de Imagem e Análise Clínica Ofertados (→)",NULL
631,"Proporção de Pessoas com Diabetes, com Consulta e Hemoglobina Glicada Solicitada no Semestre (↑)",NULL
632,"Percentual de Casos de Doenças/Agravos/Eventos de Notificação Compulsória Imediata (DNCI) Digitada Oportunamente (↑)",NULL
633,"Número de Canais de Atendimento Efetivamente Ativo (↑)",NULL
634,"Incidência de Sífilis Congênita (↓)",NULL
635,"Percentual de Requisições Atendidas das Insulinas NPH e Regular (↑)",NULL
636,"Percentual de Municípios que Atingiram Cobertura Vacinal ≥ 95% em Cada Vacina que Compõem o Indicador do Programa de Qualificação das Ações de Vigilância em Saúde (PQA-VS) (↑)",NULL
637,"Taxa de Doações Espontâneas (↑) ",NULL
638,"População Total por Faixa Etária e Sexo",NULL
639,"Letalidade da COVID-19 (↓) ",NULL
640,"Percentual de Satisfação de Doadores de Sangue (↑) ",NULL
641,"Percentual de Manutenção Preventiva do Sistema Predial (MPSP) que Contemple as Áreas do Sistema Construtivo Predial (↑)",NULL
787,"Índice de Giro de Leitos (↑) ",NULL
642,"Índice de Desenvolvimento Humano (IDH) (↑)",NULL
643,"Razão de Dependência  ",NULL
644,"Taxa de Ocupação Hospitalar/Institucional (→)",NULL
